foodcourt_name,vendors,famous_items
Fiesta,Juice junction,Juices 
Fiesta,MDP,Beverages
Fiesta,Dominos,pizza
Fiesta,Polar Bear,Dessert
Fiesta,Khaana Khasta,Punjabi cuisine
Oasis,Loyal World,Shopping center
Oasis,CCD,Beverages
Oasis,Cane Juice Counter,Juices 
Oasis,Hatti Kappi,Beverages
Oasis,Chinese Counter,Chinese cuisine
Amoeba,Dilli Darbar,North Indian cuisine
Amoeba,Juice Junction,Juices 
Amoeba,Polar Bear,Dessert
Amoeba,Dosa Delight ,Dosa
ILY,salad bar,Salads
Vista,Dominos,pizza
Vista,CCD,Beverages
Floating Restaurant,Meals,Meals
Maitri,Rajasthani Thali,Thali
Magna,Dilli Darbar,North Indian cuisine
Magna,Pathankot,North Indian cuisine
Magna,Madhuram,South Indian cuisine
Magna,Dosa Delight ,Dosa
Magna,Metro Cool,Juices & Fruit salads
Magna,Polar Bear,Dessert
Gazebo,Gazebo hut,Idli & Dosa
Arena,Live Counter,Meals
Enroute,Chinese Fusion,Chinese cuisine
Multiplex food zone,Fusion Bistro,Beverages
